,Year,Score
1988,1988,-1.867855
1992,1992,-2.441956
1995,1995,-0.403736667
1996,1996,-0.22080969350000001
1997,1997,-0.343447
1998,1998,-0.8673129165000001
1999,1999,-1.108525
2000,2000,-0.2525631856666667
2001,2001,-0.5085778515
2002,2002,-0.3428932298571429
2003,2003,-0.08927814585714283
2004,2004,0.24302901337500002
2005,2005,-0.09146999825
2006,2006,-0.5109134981111111
2007,2007,-0.33607899307692307
2008,2008,-0.19013783549999996
2009,2009,-0.6637405008
2010,2010,0.158882335
2011,2011,-0.4836833017777778
2012,2012,0.17670100046666667
2013,2013,0.2613213574166667
2014,2014,0.3491557852
2015,2015,0.22163503855555555
2016,2016,0.2648845058888889
2017,2017,0.08996412841666666
2018,2018,0.8364531153076923
