,index,Year,Score,Field
0,1996,1996,-0.011618141,Spcl
1,1998,1998,-0.00152207,Spcl
2,2000,2000,0.023679799,Spcl
3,2002,2002,-0.011142261799999999,Spcl
4,2003,2003,0.0303797025,Spcl
5,2004,2004,0.0139435275,Spcl
6,2005,2005,0.03398657633333333,Spcl
7,2006,2006,0.053968469,Spcl
8,2007,2007,0.014127299500000001,Spcl
9,2008,2008,0.021312081333333333,Spcl
10,2010,2010,0.029929351833333333,Spcl
11,2011,2011,0.0107405555,Spcl
12,2012,2012,0.029907587000000003,Spcl
13,2013,2013,0.0454045065,Spcl
14,2014,2014,0.002326073,Spcl
15,2015,2015,0.032685512,Spcl
16,2016,2016,0.0291648755,Spcl
17,2017,2017,0.016434131666666667,Spcl
18,2018,2018,0.027590295333333334,Spcl
